NAMA_PROV,NOMOR_01,NOMOR_02
ACEH,"404188","2400746"
SUMATERA UTARA,"3936515","3587786"
SUMATERA BARAT,"407761","2488733"
RIAU,"1248713","1975287"
JAMBI,"859833","1203025"
SUMATERA SELATAN,"1942987","2877781"
BENGKULU,"583488","585999"
LAMPUNG,"2853585","1955689"
KEPULAUAN BANGKA BELITUNG,"495729","288235"
KEPULAUAN RIAU,"550692","465511"
DKI JAKARTA,"3279547","3066137"
JAWA BARAT,"10750568","16077446"
JAWA TENGAH,"16825511","4944447"
DAERAH ISTIMEWA YOGYAKARTA,"1655174","742481"
JAWA TIMUR,"16231668","8441247"
BANTEN,"2537524","4059514"
BALI,"2351057","213415"
NUSA TENGGARA BARAT,"951242","2011319"
NUSA TENGGARA TIMUR,"2368982","305587"
KALIMANTAN BARAT,"1709896","1263757"
KALIMANTAN TENGAH,"830948","537138"
KALIMANTAN SELATAN,"823939","1470163"
KALIMANTAN TIMUR,"1094845","870443"
SULAWESI UTARA,"1220524","359685"
SULAWESI TENGAH,"914588","706654"
SULAWESI SELATAN,"2117591","2809393"
SULAWESI TENGGARA,"555664","842117"
GORONTALO,"369803","345129"
SULAWESI BARAT,"475312","263620"
MALUKU,"599457","392940"
MALUKU UTARA,"310548","344823"
PAPUA,"3021713","311352"
PAPUA BARAT,"508997","128732"
KALIMANTAN UTARA,"248239","106162"
Luar Negeri,"570534","207746"
